Num,Category,Description,Last updated,Filename,Image
A364,accessories,364    Log Loader,,,
A365,accessories,365    Dispatching Station,,,
A375,accessories,375    Turntable,,,
A394,accessories,394    Rotary Beacon,,,
A395,accessories,395    Floodlight Tower,,,
A397,accessories,397    Coal Loader,,,
A410,accessories,410    Blinking Billboard,,,
A415,accessories,415    Fueling Station,,,
A419,accessories,419    Heliport,,,
A445,accessories,445    Switch Tower,,,
A448,accessories,448    Missile Range Set,,,
A450,accessories,450    Signal Bridge,,,
A452,accessories,452    Overhead Gantry Signal,,,
A452,accessories,455    Oil Derrick,,,
A456,accessories,456    Coal Ramp Set,,,
A460,accessories,460    Piggyback Platform,,,
A462,accessories,462    Derrick Platform,,,
A464,accessories,464    Lumber Mill,,,
A465,accessories,465    Dispatching Station,,,
A470,accessories,470    Missile Platform,,,
A494,accessories,494    Rotary Beacon,,,
A497,accessories,497    Coaling Station,,,
A1045,accessories,1045    Automatic Flagman,,,
A1047,accessories,1047    Switchman with Flag,,,
A6019,accessories,6019    Remote Operating Track,,,
A-RCS,accessories,RCS    Remote Operating Track,,,
A-UCS,accessories,UCS    Remote Operating Track,,,
,,,,,
X1011,transformers,1011   25 watts,,,
X1022,transformers,1012   35 watts,,,
X1014,transformers,1014   40 watts,,,
X1032,transformers,"1032   75 watts, whistle control",,,
X1033,transformers,"1033   90 watts, whistle control",,,
X1034,transformers,1034   75 watts,,,
X1041,transformers,"1041   60 watts, whistle control",,,
X1042,transformers,"1042   75 watts, whistle control",,,
X1043,transformers,1043   50 watts,,,
X1044,transformers,"1044   90 watts, whistle control",,,
X1053,transformers,"1053   60 watts, whistle control",,,
X1063,transformers,"1063   75 watts, whistle control",,,
X1073,transformers,1073   60 watts,,,
X1144,transformers,1144   75 watts,,,
X-KW,transformers,"KW   190 watts, whistle control, 2 variable voltages",,,
X-LW,transformers,"LW   125 watts, whistle control",,,
X-RW,transformers,"RW   110 watts, whistle control",,,
X-SW,transformers,"SW   130 watts, whistle control, 2 variable voltages",,,
X-TW,transformers,"TW   175 watts, whistle control, 2nd core for fixed voltages",,,
X-V,transformers,"V      150 watts, 4 variable voltages",,,
X-VW,transformers,"VW   150 watts, whistle control, 4 variable voltages",,,
X-Z,transformers,"Z        250 watts, 4 variable voltages",,,
X-ZW,transformers,"ZW    275 watts, whistle control, 4 variable voltages",,,
,,,,,
M001,miscellaneous,,,,
M002,miscellaneous,,,,
M003,miscellaneous,,,,
M004,miscellaneous,,,,
M005,miscellaneous,,,,
M006,miscellaneous,,,,
M007,miscellaneous,,,,
M008,miscellaneous,,,,
M009,miscellaneous,,,,
M010,miscellaneous,,,,
M011,miscellaneous,,,,
M012,miscellaneous,,,,
M013,miscellaneous,,,,
M014,miscellaneous,,,,
M015,miscellaneous,,,,
M016,miscellaneous,,,,
M017,miscellaneous,,,,
M018,miscellaneous,,,,
M019,miscellaneous,,,,
M020,miscellaneous,,,,
